gene_name,ctrl_raw_mean,ctrl_clean_mean,ambient_mean,ambient_fraction,is_jakstat,interpretation
SRSF2,0.14813046157360077,0.1480044942491657,0.00012596732443506675,0.0008503809621390943,False,CLEAN
DYNLT3,0.061118800193071365,0.06106688433636942,5.1915856701945096e-05,0.0008494253247437022,False,CLEAN
PLAUR,0.24422043561935425,0.2440131932094982,0.00020724240985603437,0.0008485875038690276,False,CLEAN
LSM1,0.08710732311010361,0.0870338214243851,7.350168571851334e-05,0.0008438060440177601,False,CLEAN
ALOX5AP,0.22180330753326416,0.2216172199688689,0.0001860875643952542,0.000838975606201663,False,CLEAN
COA3,0.06417891383171082,0.06412507092921052,5.384290250029511e-05,0.0008389500427115567,False,CLEAN
GLUL,0.11496669054031372,0.11487032101323083,9.636952708289015e-05,0.0008382386813952658,False,CLEAN
BCAS2,0.09576714783906937,0.09568724787819922,7.989996087014173e-05,0.0008343149260789154,False,CLEAN
DNPH1,0.09837241470813751,0.09829093614173537,8.147856640214335e-05,0.0008282664062266159,False,CLEAN
NCL,0.09453024715185165,0.09445202920492239,7.821794692926265e-05,0.0008274382992315124,False,CLEAN
FAM118A,0.060506585985422134,0.060456563799495794,5.0022185926340557e-05,0.0008267229940620417,False,CLEAN
RSRC2,0.0883403867483139,0.0882674906658619,7.28960824520064e-05,0.0008251727792373257,False,CLEAN
DUT,0.10350676625967026,0.10342143465774717,8.533160192308875e-05,0.0008244060268390091,False,CLEAN
TMEM243,0.09864523261785507,0.0985641059968243,8.112662103076929e-05,0.0008224079246186007,False,CLEAN
S100A8,0.33623403310775757,0.33595822607434217,0.00027580703341539836,0.0008202829168307501,False,CLEAN
KLF2,0.08814263343811035,0.08807035624379411,7.227719431623925e-05,0.0008200026649644967,False,CLEAN
DDIT4,0.16226017475128174,0.1621273926114674,0.00013278213981432474,0.000818328588748644,False,CLEAN
IL8,0.4187319874763489,0.41839056030697225,0.0003414271693766291,0.0008153835378910808,False,CLEAN
THRAP3,0.1078331470489502,0.10774547276048836,8.767428846183367e-05,0.0008130550842778841,False,CLEAN
CD3G,0.10049935430288315,0.10041780121133682,8.155309154632417e-05,0.0008114787613514504,False,CLEAN
LYZ,0.3043167293071747,0.30407096450351134,0.00024576480366333975,0.0008075954424946086,False,CLEAN
CD247,0.10811730474233627,0.1080303698110798,8.693493125647156e-05,0.0008040797119725999,False,CLEAN
EIF5A,0.11643405258655548,0.11634122647060013,9.282611595534673e-05,0.0007972419914383816,False,CLEAN
FAM26F,0.04382471367716789,0.04378984728289882,3.486639426907023e-05,0.0007955874971805046,False,CLEAN
