Week 4 LFC Beta Sweep Training Log
================================================================================
Sweep betas: [0.01, 0.05, 0.1, 0.2, 0.5]
Best beta: 0.5
Best val r: 0.8571
Test r: 0.8729 +/- 0.0632
JAK-STAT: 0/15

Sweep Results:
  beta=0.010 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=234s
  beta=0.050 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=239s
  beta=0.100 | val_r=0.8570 | epoch=55 | jakstat=0/15 | time=261s
  beta=0.200 | val_r=0.8569 | epoch=56 | jakstat=0/15 | time=261s
  beta=0.500 | val_r=0.8571 | epoch=42 | jakstat=0/15 | time=282s

Epoch-level log:
  beta=0.050 E 69 | MSE=0.0139 LFC=226.4087 Cos=0.1319 Total=8.8570 | val_r=0.8529
  beta=0.050 E 70 | MSE=0.0143 LFC=294.0008 Cos=0.1376 Total=11.7881 | val_r=0.8529
  beta=0.050 E 71 | MSE=0.0129 LFC=273.4322 Cos=0.1253 Total=11.2361 | val_r=0.8550
  beta=0.050 E 72 | MSE=0.0133 LFC=254.8928 Cos=0.1285 Total=10.7316 | val_r=0.8544
  beta=0.050 E 73 | MSE=0.0136 LFC=288.7088 Cos=0.1338 Total=12.4414 | val_r=0.8521
  beta=0.050 E 74 | MSE=0.0133 LFC=278.4823 Cos=0.1298 Total=12.2795 | val_r=0.8554
  beta=0.050 E 75 | MSE=0.0123 LFC=235.6324 Cos=0.1207 Total=10.6278 | val_r=0.8560
  beta=0.050 E 76 | MSE=0.0128 LFC=177.2611 Cos=0.1241 Total=8.1793 | val_r=0.8560
  beta=0.050 E 77 | MSE=0.0127 LFC=183.1855 Cos=0.1228 Total=8.6347 | val_r=0.8560
  beta=0.050 E 78 | MSE=0.0123 LFC=206.8431 Cos=0.1209 Total=9.9529 | val_r=0.8553
  beta=0.050 E 79 | MSE=0.0134 LFC=261.3139 Cos=0.1301 Total=12.8308 | val_r=0.8550
  beta=0.050 E 80 | MSE=0.0136 LFC=254.9402 Cos=0.1294 Total=12.7736 | val_r=0.8554
  beta=0.050 E 81 | MSE=0.0119 LFC=251.6863 Cos=0.1183 Total=12.6081 | val_r=0.8549
  beta=0.100 E  1 | MSE=0.0215 LFC=340.1684 Cos=0.1960 Total=0.0411 | val_r=0.8041
  beta=0.100 E  2 | MSE=0.0189 LFC=363.2071 Cos=0.1819 Total=0.0371 | val_r=0.8321
  beta=0.100 E  3 | MSE=0.0391 LFC=359.6320 Cos=0.1924 Total=0.0583 | val_r=0.8092
  beta=0.100 E  4 | MSE=0.0207 LFC=369.8683 Cos=0.1991 Total=0.0406 | val_r=0.8077
  beta=0.100 E  5 | MSE=0.0190 LFC=350.6700 Cos=0.1819 Total=0.0372 | val_r=0.8274
  beta=0.100 E  6 | MSE=0.0188 LFC=336.9151 Cos=0.1759 Total=0.0363 | val_r=0.8175
  beta=0.100 E  7 | MSE=0.0181 LFC=369.7771 Cos=0.1812 Total=0.0362 | val_r=0.8227
  beta=0.100 E  8 | MSE=0.0167 LFC=348.9336 Cos=0.1661 Total=0.0333 | val_r=0.8373
  beta=0.100 E  9 | MSE=0.0162 LFC=329.1279 Cos=0.1594 Total=0.0321 | val_r=0.8391
  beta=0.100 E 10 | MSE=0.0157 LFC=353.1361 Cos=0.1573 Total=0.0315 | val_r=0.8379
  beta=0.100 E 11 | MSE=0.0152 LFC=331.1098 Cos=0.1492 Total=0.0301 | val_r=0.8532
  beta=0.100 E 12 | MSE=0.0152 LFC=277.3873 Cos=0.1447 Total=0.0297 | val_r=0.8470
  beta=0.100 E 13 | MSE=0.0143 LFC=302.4410 Cos=0.1390 Total=0.0282 | val_r=0.8548
  beta=0.100 E 14 | MSE=0.0133 LFC=248.4763 Cos=0.1302 Total=0.0263 | val_r=0.8530
  beta=0.100 E 15 | MSE=0.0133 LFC=262.0056 Cos=0.1289 Total=0.0262 | val_r=0.8564
  beta=0.100 E 16 | MSE=0.0131 LFC=271.2546 Cos=0.1297 Total=0.0261 | val_r=0.8564
  beta=0.100 E 17 | MSE=0.0132 LFC=234.3917 Cos=0.1273 Total=0.0260 | val_r=0.8565
  beta=0.100 E 18 | MSE=0.0128 LFC=238.4665 Cos=0.1248 Total=0.0252 | val_r=0.8565
  beta=0.100 E 19 | MSE=0.0130 LFC=241.3261 Cos=0.1261 Total=0.0257 | val_r=0.8568
  beta=0.100 E 20 | MSE=0.0130 LFC=223.5326 Cos=0.1250 Total=0.0256 | val_r=0.8552
  beta=0.100 E 21 | MSE=0.0129 LFC=264.2185 Cos=0.1269 Total=0.0256 | val_r=0.8560
  beta=0.100 E 22 | MSE=0.0125 LFC=227.1762 Cos=0.1215 Total=0.0246 | val_r=0.8546
  beta=0.100 E 23 | MSE=0.0129 LFC=252.4536 Cos=0.1249 Total=0.0254 | val_r=0.8560
  beta=0.100 E 24 | MSE=0.0134 LFC=247.9872 Cos=0.1295 Total=0.0263 | val_r=0.8541
  beta=0.100 E 25 | MSE=0.0129 LFC=223.5203 Cos=0.1263 Total=0.0255 | val_r=0.8561
  beta=0.100 E 26 | MSE=0.0129 LFC=230.3760 Cos=0.1247 Total=0.0253 | val_r=0.8560
  beta=0.100 E 27 | MSE=0.0124 LFC=200.6840 Cos=0.1191 Total=0.0243 | val_r=0.8560
  beta=0.100 E 28 | MSE=0.0131 LFC=221.7173 Cos=0.1264 Total=0.0257 | val_r=0.8563
