gene_a,gene_b,combined_score
SDF2L1,CCT4,723
SDF2L1,TCP1,740
SDF2L1,BAG3,729
SDF2L1,DNAJC9,745
CERS4,DEGS2,972
CERS4,GBA2,925
HBA2,HBA1,999
HBA2,HBB,999
HBA2,HBD,997
HBA2,RPS4X,908
HBA2,RPS6,938
HBA2,HBG1,850
HBA2,HBG2,994
HBA2,RPS18,912
MED17,TAF3,803
MED17,MED30,999
MED17,TAF7,829
MED17,POLR2B,982
MED17,MED6,999
MED17,ZC3H13,995
KRT1,PRSS1,786
KRT1,PLAUR,700
APOE,ABCG1,928
APOE,LSR,769
APOE,CCL2,746
APOE,ACHE,769
APOE,IL6,835
APOE,PLA2G7,970
APOE,APOD,936
APOE,CX3CR1,764
APOE,NOS3,777
APOE,SNCA,996
APOE,TNF,806
APOE,IL1B,846
APOE,C1QB,705
APOE,CLU,999
APOE,PRNP,717
APOE,B2M,803
APOE,CTSD,763
APOE,IFNG,838
GADD45G,PCNA,960
GADD45G,SESN1,746
GADD45G,GADD45B,955
GADD45G,GADD45A,959
LAMA5,ITGA10,736
LAMA5,ITGB3,797
LAMA5,ITGB5,843
LAMA5,ITGA4,739
LAMA5,ITGA2B,708
TRIM28,ZNF354A,835
TRIM28,ZFP90,825
TRIM28,ZNF649,748
TRIM28,ZNF33A,708
TRIM28,ZNF658,734
TRIM28,HDAC6,903
TRIM28,TRAT1,817
TRIM28,MYC,722
TRIM28,ZNF738,721
TRIM28,SUV39H1,885
TRIM28,RUVBL1,801
TRIM28,YY1,832
TRIM28,ZNF382,968
TRIM28,ZWINT,801
TRIM28,ZNF273,738
TRIM28,ZNF445,868
F12,F13A1,707
F12,GP1BA,841
LGALS3,CCL5,753
LGALS3,IFNG,844
LGALS3,TIMP1,743
LGALS3,LAG3,990
LGALS3,KRAS,959
LGALS3,BCL2,915
LGALS3,CTLA4,844
LGALS3,CD7,704
LGALS3,EGF,773
LGALS3,NCR3,899
LGALS3,IL6,768
LGALS3,CCL2,761
DNAJB1,HSPA5,950
DNAJB1,HSPH1,990
DNAJB1,HSPB1,892
DNAJB1,SERPINH1,702
DNAJB1,HSPA2,967
DNAJB1,BAG5,850
DNAJB1,HSPA1L,969
DNAJB1,HSPA6,984
DNAJB1,AHSA1,897
DNAJB1,DNAJB6,742
DNAJB1,GRPEL1,963
DNAJB1,HSPE1,834
DNAJB1,SNCA,813
DNAJB1,HSPA1B,998
